id,name,parent_id
306,Al `Uqaylah,12971
307,Al Aaroui,15216
308,Al Ahmadi,12172
309,Al Atarib,22798
310,Al Bahah,20833
311,Al Bahnasa,6575
312,Al Balyana,6575
313,Al Basrah,10193
314,Al Bayda',12971
316,Al Buraymi,16985
317,Al Burayqah,12971
318,Al Fallujah,10193
319,Al Faw,10193
320,Al Fayyum,6575
321,Al Fujayrah,24245
322,Al Ghardaqah,6575
323,Al Ghayzah,26302
324,Al Hajar al Aswad,22798
325,Al Hasakah,22798
326,Al Hawiyah,20833
327,Al Hayy,10193
328,Al Hazm,26302
329,Al Hibah,6575
330,Al Hillah,20833
332,Al Hudaydah,26302
333,Al Hufuf,20833
334,Al Husayniyah,6575
335,Al Jabin,26302
336,Al Jaghbub,12971
337,Al Jahra',12172
338,Al Jawf,12971
339,Al Jubayl,20833
340,Al Karak,10698
341,Al Karnak,6575
342,Al Kharijah,6575
343,Al Kharj,20833
344,Al Khawr,18886
345,Al Khmissat,15216
346,Al Khubar,20833
347,Al Kufah,10193
348,Al Kufrah,12971
349,Al Kut,10193
350,Al Madrah Sama'il,16985
351,Al Mafraq,10698
352,Al Mahallah al Kubra,6575
353,Al Mahwit,26302
354,Al Majma`ah,20833
355,Al Malikiyah,22798
356,Al Manaqil,22532
357,Al Mansurah,6575
358,Al Marj,12971
359,Al Mayadin,22798
360,Al Mijlad,22532
361,Al Minya,6575
362,Al Mubarraz,20833
363,Al Muharraq,1536
364,Al Mukalla,26302
365,Al Musayyib,10193
366,Al Qa`idah,26302
367,Al Qamishli,22798
368,Al Qaryatayn,22798
369,Al Qasr,6575
370,Al Qatif,20833
371,Al Quds,25452
372,Al Qunaytirah,22798
373,Al Qunfudhah,20833
374,Al Qurayyat,20833
375,Al Qusayr,22798
377,Al Qusiyah,6575
378,Al Quway`iyah,20833
379,Al Wajh,20833
380,Al Wakrah,18886
381,Al Wasitah,6575
382,Alabaster,24247
383,Alabel,17982
384,Alafaya,24247
385,Alagir,19881
386,Alagoinhas,3060
387,Alajarvi,7254
388,Alajuela,5229
389,Alambari,3060
390,Alameda,24247
391,Alamedin,12200
392,Alaminos,17982
393,Alamo,14593
396,Alamo Heights,24247
397,Alamogordo,24247
398,Alamos,14593
399,Alamosa,24247
400,Alanya,24038
401,Alapayevsk,19881
402,Alashankou,4526
403,Alatyr,19881
404,Alausi,6514
405,Alaverdi,1024
406,Alavus,7254
407,Alba Iulia,19663
408,Albacete,22090
409,Albania,0
410,Albany,24247
415,Albbruck,7974
416,Albemarle,24247
417,Albergaria-a-Velha,18509
418,Albert Lea,24247
419,Albertirsa,9842
420,Alberton,21942
421,Albertson,24247
422,Albertville,24247
424,Albi,7492
425,Albina,22675
426,Albion,24247
428,Albstadt,7974
429,Albu Kamal,22798
430,Albuquerque,24247
431,Albury,1290
432,Alcacer do Sal,18509
433,Alcester,24246
434,Alchevsk,24174
435,Alcoa,24247
436,Alcochete,18509
437,Aldama,14593
439,Aldan,19881
440,Alden,24247
441,Aldenham,24246
442,Aldershot,24246
443,Alderwood Manor,24247
444,Aldine,24247
445,Aldo Bonzi,985
446,Aldridge,24246
447,Alebtong,24155
448,Aledo,24247
449,Aleg,14294
450,Aleksandrov,19881
451,Aleksandrovac,21139
452,Aleksandrovsk,19881
453,Aleksandrovsk-Sakhalinskiy,19881
454,Alekseyevka,19881
455,Aleksin,19881
456,Aleksinac,21139
457,Alencon,7492
458,Alenquer,3060
459,Aleppo,22798
460,Alerce,4505
461,Ales,7492
462,Alesd,19663
463,Alesund,16507
464,Alexander Bay,21942
465,Alexander City,24247
466,Alexandra,16079
467,Alexandreia,8422
468,Alexandria,6575
475,Alexandroupoli,8422
476,Aleysk,19881
477,Alfajayucan,14593
478,Alfeld,7974
479,Alfena,18509
480,Alfortville,7492
481,Alfred,24247
482,Alfred and Plantagenet,3794
483,Alfreton,24246
484,Alga,11194
485,Algeciras,22090
486,Algeria,0
487,Algiers,486
488,Algodones,14593
489,Algona,24247
490,Algonquin,24247
491,Alhambra,24247
492,Ali Sabieh,5982
493,Aliaga,24038
494,Alibunar,21139
495,Alicante,22090
496,Alice,24247
497,Alice Springs,1290
498,Aligarh,10093
499,Aligudarz,10188
500,Alipur Duar,10093
501,Aliquippa,24247
502,Aliso Viejo,24247
503,Aliwal North,21942
504,Aljustrel,18509
505,Allahabad,10093
506,Allanmyo,3470
507,Allauch,7492
508,Allegan,24247
509,Allegany,24247
510,Allegheny Township,24247
512,Allen,24247
514,Allen Park,24247
515,Allendale,24247
517,Allende,14593
518,Allentown,24247
519,Alleppey,10093
520,Allestree,24246
521,Alliance,24247
523,Allington,24246
524,Allison Park,24247
525,Alloa,24246
526,Allouez,24247
527,Allschwil,22778
528,Allstedt,7974
529,Alma,3794
532,Almada,18509
533,Almargem,18509
534,Almaty,11194
535,Almeirim,18509
536,Almenara,3060
537,Almeria,22090
538,Almetyevsk,19881
539,Almirante,17506
540,Almoloya,14593
541,Almoloya de Alquisiras,14593
542,Almoloya del Rio,14593
543,Almondbury,24246
544,Almonte,22090
545,Almyros,8422
546,Alness,24246
547,Alnwick,24246
548,Alnwick/Haldimand,3794
549,Aloha,24247
550,Aloja,12643
551,Alondra Park,24247
552,Alor Setar,13812
553,Alotau,17542
554,Alpena,24247
555,Alpharetta,24247
556,Alpiarca,18509
557,Alpine,24247
560,Alpirsbach,7974
561,Alquizar,5411
562,Alsager,24246
563,Alsdorf,7974
564,Alsfeld,7974
565,Alsip,24247
566,Alstonville,1290
567,Alsunga,12643
568,Alta,16507
569,Alta Floresta,3060
570,Alta Gracia,985
571,Alta Sierra,24247
572,Altadena,24247
573,Altagracia de Orituco,24602
574,Altamira,3060
576,Altamirano,14593
577,Altamont,24247
578,Altamonte Springs,24247
579,Altar,14593
580,Altata,14593
581,Altay,4526
583,Altdorf,22778
584,Altena,7974
585,Altenberg,7974
586,Altenburg,7974
587,Altenerding,7974
588,Altenkirchen,7974
589,Altensteig,7974
590,Altentreptow,7974
591,Altinopolis,3060
592,Altlandsberg,7974
593,Alto Rio Senguer,985
594,Altofts,24246
595,Altomunster,7974
596,Alton,24247
600,Altoona,24247
603,Altotting,7974
604,Altrincham,24246
605,Altus,24247
606,Aluksne,12643
607,Alum Rock,24247
608,Alushta,24174
609,Alva,24247
610,Alvarado,14593
611,Alvares Machado,3060
612,Alvaro de Carvalho,3060
613,Alvechurch,24246
614,Alvin,24247
615,Alvorada,3060
616,Alwar,10093
617,Alytus,13131
618,Alzamay,19881
619,Alzenau in Unterfranken,7974
620,Alzey,7974
621,Am-Timan,4194
622,Amadora,18509
623,Amagi,10483
624,Amahai,10107
625,Amalapuram,10093
626,Amapa,3060
627,Amara,19663
628,Amarante,18509
629,Amarapura,3470
630,Amarillo,24247
631,Amarkantak,10093
632,Amasya,24038
633,Amatepec,14593
634,Amatitan,14593
635,Amatlan de los Reyes,14593
636,Amau,17542
637,Ambala,10093
638,Ambanja,13652
639,Ambarchik,19881
640,Ambato,6514
641,Ambatondrazaka,13652
642,Amberg,7974
643,Amble,24246
644,Amblecote,24246
645,Ambler,24247
646,Ambon,10107
647,Ambridge,24247
648,Ambriz,780
649,Ambrolauri,7956
650,Amderma,19881
651,Amdjarass,4194
652,Amealco,14593
653,Amecameca de Juarez,14593
654,Amelia,10293
656,American Canyon,24247
657,American Fork,24247
658,American Samoa,0
659,Americana,3060
660,Americo Brasiliense,3060
661,Americus,24247
662,Amersham,24246
663,Ames,24247
664,Amesbury,24247
666,Amfissa,8422
667,Amherst,24247
672,Amherst Center,24247
673,Amherstburg,3794
674,Ami,10483
675,Amiens,7492
676,Amioun,12737
677,Amircan,1366
678,Amite City,24247
679,Amity,24247
680,Amityville,24247
681,Amlash,10188
682,Amman,10698
683,Ammanford,24246
684,Ammon,24247
685,Amnat Charoen,23358
686,Amol,10188
687,Amolatar,24155
688,Amoneburg,7974
689,Amora,18509
690,Amory,24247
691,Amos,3794
692,Amozoc,14593
693,Ampthill,24246
694,Amqui,3794
695,Amravati,10093
696,Amriswil,22778
697,Amritsar,10093
698,Amsterdam,15921
700,Amstetten,1292
701,Amudalavalasa,10093
702,Amudat,24155
703,Amuria,24155
704,Amursk,19881
705,Amuru,24155
706,Amvrosiivka,24174
707,An Cabhan,10198
708,An Nabk,22798
709,An Najaf,10193
710,An Nasiriyah,10193
711,An Nuhud,22532
712,Anaco,24602
713,Anaconda,24247
714,Anacortes,24247
715,Anadarko,24247
716,Anadia,18509
717,Anadyr,19881
718,Anaheim,24247
719,Anahuac,14593
720,Anakapalle,10093
721,Anamosa,24247
722,Anantapur,10093
723,Anapa,19881
724,Anapolis,3060
725,Anasco,18768
726,Anatoli,8422
727,Anatuya,985
728,Anavyssos,8422
729,Anchorage,24247
730,Ancient Oaks,24247
731,Ancona,10293
732,Ancud,4505
733,Anda,4526
734,Andahuaylas,17894
735,Andalusia,24247
736,Andamooka,1290
737,Andenne,2143
738,Andergrove,1290
739,Anderlecht,2143
740,Andernach,7974
741,Anderson,24247
744,Andijon,24396
745,Andimeshk,10188
746,Andkhoy,168
747,Andoany,13652
748,Andoas,17894
749,Andong,11840
750,Andorra,0
751,Andorra la Vella,750
752,Andover,24246
757,Andradina,3060
758,Andreapol,19881
759,Andrews,24247
760,Andria,10293
761,Andrijevica,15097
762,Androka,13652
763,Andrushivka,24174
764,Anenecuilco,14593
765,Anenii Noi,14992
766,Anew,24042
767,Ang Thong,23358
768,Angamali,10093
769,Angarsk,19881
770,Angatuba,3060
771,Angel R. Cabada,14593
772,Angeles City,17982
773,Angermunde,7974
774,Angers,7492
775,Angier,24247
776,Anglet,7492
777,Angleton,24247
778,Angmering,24246
779,Angol,4505
780,Angola,0
782,Angostura,14593
783,Angouleme,7492
784,Angra do Heroismo,18509
785,Angren,24396
786,Anguo,4526
787,Anhembi,3060
788,Anina,19663
789,Anisoc,6834
790,Aniva,19881
791,Anjomachi,10483
792,Anju,11839
793,Ankang,4526
794,Ankara,24038
795,Ankaran,21726
